sku,title,author,brand,price
CV405,Walking as Research Practice,,,34
CV406,Wild Combination,,,14
CV407,Your Silence Will Not Protect You,Audre Lorde,Silver Press,24
CV408,Dropse,,Edizione Multicolore,18
CV409,In the Delirium of Simulation – Baudrillard Revisited,,,22
CV410,Only Nineties Kids Will Remember,Never Brush my Teeth,,0
CV412,A Year of Deep Listening,,,40
CV412,Opening to Darkness,Manuel Z,,34
CV413,Atlas of AI,,,26
CV413,The Edge of the Alphabet,,,28
CV414,Mad About Painting,,,20
CV414,Strange Beach,,,28
CV415,Aquatic Encounters ,,Rooftop Books,25
CV415,Modern Poetry,,,28
CV416,Basta Now,Fanny Chiarello,,28
CV416,"The Mollino Set
",Lytle Shaw,,22
CV417,Call to a Crow / Appelle un Corbeau,,Edition Taube,10
CV418,to enter the forest,,,19
CV419,Flametti (Vinyl+Book),Hugo Ball,Edition Fink,40
CV420,Auditory Poverty And Its Discontents,,Errant Bodies,18
CV421,Seamless,Boris Kollar,,26
CV422,Perfection,Vincenzo Latronico,,22
CV423,Sonic Mediations,Pauline Oliveros,,22
CV424,Between Existentialism and Marxism,,,28
CV425,New Dark Age,,,20
CV426,Going Out Walking Listening Soundmaking,,,39
CV427,SPECTRES II,,,22
CV428,The Music To Come,,,10
CV429,Walking as Research Practice,,,36
CV430,Deep Listening,Pauline Oliveros,,26
CV431,Why I Do What I Do,,,24
CV432,They inhabit while working,,,20
CV433,Headwaters And Other Short Fictions,,,36
CV434,A Hypothesis of Resistance,,,24
CV435,Exit Reality,,,28
CV436,A New Concise Reference Dictionary and Glossary of Usage Terms and Subjects in Contemporary Art,,,15
CV437,Involuntary Scultptures The City Is Ours #6,,,26
CV438,I thought it was Love,,,30
